seed,state_id,outer_t,source,branch,rho,s_rot,delta_J_abs_F,delta_J_rel_F,eta_J_2,delta_nu,cond_J_nu,cond_J_post
43,4,3,accepted_update,full,17.0297483974818,11.312262324395883,81.13797394829588,0.3949368425369895,0.4465044176279134,59.91475875148354,1.0177531796919765,1.220955176164625
43,5,4,accepted_update,trans,16.201750598350678,14.502366365419206,397.1420909425281,1.9330781359594964,2.51931182767036,48.94172897256449,1.017753179690763,1.315281993358008
43,6,5,accepted_update,trans,16.115026157969464,16.087820539969012,393.1807377184248,1.9137963587766742,2.539480210853612,59.18716922519577,1.017753179695749,1.380695496857276
43,7,6,accepted_update,full,15.871902028261571,17.565493963912335,297.6100141911219,1.4476642461514826,1.861458758904938,48.267908474030975,1.0167390767296025,1.4011831393524385
43,8,7,accepted_update,full,15.665458786674167,14.73067789426213,391.03182889906276,1.9037395029644748,2.4386513982960527,46.23017502702039,1.0180828207351185,1.58994497620489
43,9,8,accepted_update,full,15.4379265078838,24.822053487553244,414.913584993965,2.018650249468052,2.6144032144279463,32.30777013318531,1.0170365048042818,1.5432265709295112
43,10,9,accepted_update,trans,15.345864119739689,26.004250451192892,324.45228135688035,1.578535151378669,2.1781990815761962,34.106412806829354,1.0170365047956682,1.6475792257614519
43,11,10,accepted_update,rot,15.341813419689327,25.681739693849742,311.3205364465675,1.5150537861326674,2.0999251653580995,35.98815261885245,1.01745497553493,1.6264985676128103
43,12,11,accepted_update,rot,15.340848746208012,25.712922024202207,424.00347260322644,2.0638696368856837,2.7055674466461195,31.246917080806444,1.017786726750999,1.6027322477752814
43,13,12,accepted_update,trans,15.328034782188196,26.16935896950759,424.91879831231387,2.068325055442178,2.7147306281602943,30.285125380431086,1.0177867267511798,1.6114394552727533
43,14,13,accepted_update,full,15.264538922465226,28.708795559186786,428.03181426109217,2.0880878009020822,2.741670438591761,38.72648022637541,1.021240316944449,1.6449657967398994
43,15,14,accepted_update,full,15.233642755520822,29.411833158241365,325.2087302046782,1.5873660875226254,2.237730504329224,43.1622337492391,1.0221156745919502,1.6814599551458482
44,0,-1,initial_refresh,,23.385850070763638,7.403768494358642,477.5480197731008,2.2976039813877427,3.365302263020502,77.73091301823305,1.0000000000321991,2.1791796811269735
44,1,0,accepted_update,full,20.02763298925798,8.959649759423092,454.9901932932111,2.1914815926009594,3.068760581382703,138.9343628092157,1.0016526729883093,1.7190267356771298
44,2,1,accepted_update,full,19.074162627559417,7.684677516637024,370.28803647105025,1.7987139068173867,2.352252701418527,22.973776070356966,1.0146049734923441,1.2853411333267615
44,3,2,accepted_update,full,18.22671739312204,14.876605475159389,348.3360280631679,1.6926449921780804,2.055745993739393,88.41668734372759,1.0151219199790047,1.3580225174700176
44,4,3,accepted_update,trans,16.90351046243167,15.658288177569583,386.6899320242612,1.8790154455436006,2.4207452650552534,95.76537039680473,1.0151219199834907,1.3219642035785135
44,5,4,accepted_update,trans,16.395768595747313,18.996934255531453,375.0674544622111,1.8225391500825128,2.38565048747434,93.7620705715885,1.0151219199812893,1.6278699521713231
